"INV,#Pembayaran,Tanggal,Bukti"
"INV/2024/11-VE-0010,1.000.000,21-Des-2024,"
"INV/2024/11-VE-0010,3.000.000,3-Jan-2025,"
"INV/2024/12-VE-0008,16.350.000,15-Mei-2025,"
"INV/2025/04-VE-0002,9.650.000,20-Mei-2025,"
"INV/2025/03-VE-0003,13.100.000,17-Mei-2025,"
"INV/2025/03-VE-0003,3.320.000,13-Mei-2025,"
"INV/2025/03-VE-0003,4.680.000,16-Mei-2025,"
"INV/2025/03-VE-0003,1.000.000,20-Mei-2025,"
"INV/2025/03-VE-0011,4.000.000,5-Mei-2025,"
"INV/2025/05-VE-0017,8.000.000,21-Mei-2025,"
"INV/2025/04-VE-0023,29.000.000,28-Apr-2025,"
"INV/2025/04-VE-0031,4.400.000,,"
"INV/2025/04-VE-0031,1.760.000,,"
"INV/2025/01-VE-0038,700.000,10-Jan-2025,"
"INV/2025/01-VE-0038,1.000.000,2-Mei-2025,"
"INV/2025/05-VE-0001,4.125.000,17-Mei-2025,"
"INV/2025/01-VE-0004,9.954.000,26-Mei-2025,"
"INV/2025/04-VE-0007,6.990.000,27-Mei-2025,"
"INV/2024/12-VE-0008,550.000,2-Jun-2025,Tasya_LontongKikil_Kursi.jpeg"
"INV/2025/06-VE-0050,3.675.000,2-Jun-2025,"
"INV/2024/11-VE-0010,1.700.000,2-Jun-2025,"
"INV/2025/02-VE-0005,5.000.000,26-Mei-2025,"
"INV/2025/05-VE-0017,9.600.000,4-Jun-2025,"
"INV/2025/03-VE-0011,2.112.500,5-Jun-2025,"
"INV/2025/03-VE-0011,187.500,5-Jun-2025,"
"INV/2025/03-VE-0044,2.000.000,8-Jun-2025,"
"INV/2025/02-VE-0009,6.900.000,7-Jun-2025,"
"INV/2025/04-VE-0015,5.175.000,11-Jun-2025,"
"INV/2025/03-VE-0012,6.900.000,12-Jun-2025,"
"INV/2025/02-VE-0014,5.400.000,15-Jun-2025,"
"INV/2025/04-VE-0026,2.000.000,17-Jun-2025,"
"INV/2025/06-VE-0057,10.935.000,18-Jun-2025,"
"INV/2025/04-VE-0013,8.610.000,19-Jun-2025,"
"INV/2025/04-VE-0016,4.900.000,19-Jun-2025,"
"INV/2025/04-VE-0015,500.000,25-Jul-2025,"
"INV/2025/06-VE-0059,528.000,1-Jul-2025,"
"INV/2025/07-VE-0081,10.000,5-Jun-2025,CASH"
"INV/2025/07-VE-0083,1.300.000,16-Jul-2025,"
"INV/2025/05-VE-0036,1.000.000,18-Jul-2025,"
"INV/2025/07-VE-0087,9.667.500,21-Jul-2025,"
"INV/2025/05-VE-0047,5.400.000,21-Jul-2025,"
"INV/2025/07-VE-0061,7.250.000,24-Jul-2025,"
"INV/2024/11-VE-0018,4.950.000,21-Jul-2025,"
"INV/2025/02-VE-0019,17.100.000,4-Agu-2025,https://drive.google.com/file/d/1l38VQNItGcr_pXuu8QQNQyZuNC1IkVQ4/view?usp=drivesdk"
"INV/2025/02-VE-0021,8.500.000,4-Agu-2025,https://drive.google.com/file/d/1CABN2ix-U6TJAAVsRA1qt4xCkoxyIRZa/view?usp=drivesdk"
"INV/2025/07-VE-0076,10.100.000,4-Agu-2025,https://drive.google.com/file/d/15qUWCy3fVZpcbBDrnhUCDh7pbEhBZudA/view?usp=drivesdk"
"INV/2024/09-VE-0020,5.000.000,4-Agu-2025,https://drive.google.com/file/d/1ZUKml2ShmKHeMMT5KLFwBbt8Etoa5lZ5/view?usp=drivesdk"
"INV/2025/07-VE-0064,5.600.000,5-Agu-2025,"
"INV/2025/03-VE-0034,6.675.000,5-Agu-2025,"
"INV/2025/07-VE-0061,8.250.000,24-Jul-2025,"
"INV/2025/07-VE-0066,2.050.000,8-Agu-2025,"
"INV/2025/02-VE-0021,12.000.000,13-Agu-2025,"
"INV/2025/04-VE-0026,2.000.000,13-Agu-2025,"